rkpc,nrkpc,z0,z1,z2,z3,z4,z5,z6
4.5045,1.4568392974857862,8.424909378345898,8.44846514996852,8.430178293083037,8.445814307387174,8.277203396004195,8.255754786643042,8.089961601356476
4.6046,1.4648662640394956,8.407739206621919,8.431049980836244,8.412122738264088,8.426841342839616,8.253308922132556,8.220199667427242,8.072238865437441
4.7047,1.472763403326951,8.390875078514377,8.413936485917295,8.393280309342908,8.408348525362882,8.229756032006515,8.184648828129491,8.048597158401604
4.8048,1.4805355117021817,8.37430281361904,8.401681376448776,8.37593416370707,8.390590698631959,8.206531772594323,8.149098947386147,8.017313035082283
4.9049,1.4881871128113873,8.358014841247874,8.386436522535247,8.359112335973208,8.373132774549155,8.184407485412319,8.10889636816752,7.9863143829219805
5.005,1.4957224783092982,8.34199803333717,8.370936615281954,8.339983796455794,8.355455351556301,8.167154789565984,8.075521413906896,7.955593936421133
5.1051,1.5031456466216502,8.326245714983076,8.353514256225411,8.321704056593875,8.336391682377146,8.15014830893148,8.042469189807138,7.879953294835987
5.20521,1.5104611654294349,8.310744277898328,8.337870398407118,8.306251292169277,8.316917626124628,8.133385600908989,8.006932177211954,7.784263437409496
5.30531,1.517671195033644,8.295487930208314,8.323250053515434,8.28585200719305,8.296149416043686,8.116853376282762,7.978058550287363,7.76120742442854
5.40541,1.5247799064065295,8.280469100149382,8.307322730536855,8.268121423275936,8.275631503923304,8.10054629541317,7.956523330772938,7.74778689494237
5.50551,1.5317905606799387,8.265676122098839,8.291613016939879,8.251173244900041,8.255354530758819,8.075017456377484,7.935218500046128,7.734579027102049
5.60561,1.5387062570124717,8.251105041943909,8.2761123897801,8.236859587865418,8.235311245361682,8.048298050818715,7.914138371529308,7.721578160140465
5.70571,1.5455299433654734,8.236746317407446,8.260820019665905,8.223119392679612,8.215497466993309,8.028335335818387,7.893276145774576,7.708777707890154
5.80581,1.5522644263867262,8.222594206543706,8.245722341944893,8.209228049484674,8.195905184787776,8.010719628351767,7.871666882426569,7.6961693484237195
5.90591,1.5589123804897553,8.208642891108905,8.23082174362667,8.193461302145192,8.178205461658516,7.993349803910261,7.847293140192161,7.672367591152191
6.00601,1.565476356206665,8.194886038754268,8.217981103075502,8.177429739822283,8.163325421400176,7.976217441639531,7.823143491700457,7.597329830110496
6.10611,1.5719587878837005,8.181317544586685,8.203658299456245,8.162307457586722,8.148608823717987,7.95931574158074,7.799212999805847,7.571676229390636
6.20621,1.5783620007811339,8.16793141232109,8.188146330894503,8.148695179285063,8.134052706801592,7.9426374279896,7.7754953975159475,7.5577489440054775
6.30631,1.5846882176323862,8.15472212484179,8.173500945013354,8.132775002693178,8.119648424923785,7.9261761891078075,7.751985412895525,7.546185951383745
6.40641,1.590939564711468,8.141684912336522,8.160183285770627,8.116946282015448,8.105397764590242,7.909925471639123,7.7286791780090685,7.534849468693568
6.50651,1.5971180774526559,8.12881268567611,8.147032906559977,8.104524666601307,8.091294042758463,7.893879865222451,7.7055703789775825,7.517119328647465
6.60661,1.603225705661799,8.11610608994437,8.134043163515019,8.091079295576874,8.07733156112899,7.878033226730998,7.682654013163124,7.496288798588299
6.70671,1.6092643183546333,8.103557436942102,8.121008008685166,8.078398811577728,8.06350974353163,7.862380669143868,7.65844833474649,7.466593320509197
6.80681,1.6152357082539497,8.091160278296922,8.104476868397219,8.063629794182612,8.049822511955453,7.846916378858029,7.637384645554605,7.432348655870814
6.90691,1.6211415959742963,8.078913348506882,8.091220125385865,8.049051252594218,8.036269495742815,7.831635614287118,7.615022637346574,7.40063122750202
7.00701,1.6269836339201305,8.066813999304303,8.078362553595765,8.036987997806905,8.022844731297985,7.816533604450738,7.592836028925649,7.3707073406560255
7.10711,1.632763409920826,8.054854262273114,8.067018752468,8.025055869142038,8.009548622308193,7.801606059192671,7.57082303952521,7.339375905262784
7.20721,1.6384824506237439,8.043035943300902,8.053735153411358,8.010808597512206,7.996372885889054,7.786847921308696,7.548977498029615,7.2991236077893635
7.30731,1.6441422246645887,8.03135190128701,8.04255582502742,7.9978623618871785,7.98331951187681,7.7722556772047175,7.527297286957382,7.260453017607085
7.40741,1.649744145632503,8.019797328385032,8.031299371937026,7.9854152640207765,7.9685095471089555,7.75744310011941,7.505777894000121,7.225944747793024
7.50751,1.6552895748457777,8.008370190271023,8.020477300026736,7.972029159943196,7.949648554473037,7.729283880245164,7.484418008324515,7.191392322055601
7.60761,1.6607798239526188,7.997069941971791,8.008468160240138,7.956575630801353,7.93086707262586,7.701132609008264,7.4632119112881385,7.156800448501733
7.70771,1.6662161573701506,7.985891939144778,7.996585636012416,7.9432218635594705,7.912164132563606,7.683266832929499,7.44215824079909,7.1221634319989455
7.80781,1.6715997945736736,7.9748335132525074,7.984823342759831,7.930324909570681,7.893537623806972,7.673376679985006,7.4153957444301675,7.087490371389999
7.90791,1.6769319122471646,7.963890724064853,7.973180039724445,7.91758007366685,7.8749871374745295,7.663595400679026,7.385972499260596,7.052774715494707
8.00801,1.682213646305076,7.953062018953687,7.961654098176109,7.906775018887524,7.856510806517432,7.6539212827585565,7.356524913340358,7.018017737208952
8.10811,1.687446093794636,7.942344438895043,7.950241676447397,7.894651624921388,7.838107009418335,7.6443519188827125,7.327054310504278,6.983223374455101
8.20821,1.6926303146871016,7.931736462082684,7.93453529401263,7.8837772315766195,7.819776155191861,7.634885174284897,7.297561368229882,6.948389978863232
8.30831,1.6977673335657093,7.9212342826263065,7.920398848834213,7.873700661159288,7.801514842252332,7.625517200324085,7.268044135613034,6.913517689698029
8.40841,1.7028581412174555,7.910836143851119,7.910001861405834,7.861208119420473,7.7833238951625,7.581027552808378,7.238505258532677,6.878607382143809
8.50851,1.707903696135256,7.9005397195856775,7.9008279464074445,7.850034484508606,7.765201231993807,7.527846349811276,7.2089436220037735,6.843659385889768
8.60861,1.7129049259365248,7.890342760492402,7.890901975265798,7.839440939064986,7.7471467996452255,7.49285673306383,7.179362176789953,6.808674738140501
8.70871,1.717862728703732,7.880242920279958,7.878013672543342,7.8270428090991695,7.729158307637203,7.477235603877918,7.149754720113396,6.789543344310848
8.80881,1.7227779742520823,7.870239427536537,7.865261548142051,7.815780902806299,7.711235101560548,7.461732568543762,7.120129539110099,6.7722468725104035
8.90891,1.72765150532905,7.860328997113394,7.856701104311596,7.804800937614227,7.69337603087535,7.4463460727444675,7.090480258889635,6.7550954743681535
